Distirct No (apylinkės nr.),Party No (partijos nr.),Constituency No (apygardos nr.),By post (balsai paštu),Distirct (apylinkė),In distirct (balsai apylinkėje),Party (partija),Constituency (apygarda),Total (balsai iš viso),Valid ballot papers percent (galiojančių biuletenių skaičius)
39,5,70,7,Senosios Varėnos,70,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,77,14.89
39,1,70,8,Senosios Varėnos,67,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,75,14.51
38,3,70,35,Šilo,340,Darbo partija,Varėnos - Eišiškių,375,26.11
38,8,70,29,Šilo,271,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,300,20.89
38,5,70,17,Šilo,168,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,185,12.88
38,1,70,35,Šilo,190,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,225,15.67
3,13,61,4,Maironio,13,Socialistinis liaudies Frontas,Ukmergės,17,1.7
3,11,61,4,Maironio,8,Krikščionių partija,Ukmergės,12,1.2
3,10,61,1,Maironio,13,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Ukmergės,14,1.4
3,15,61,,Maironio,5,Partija „Jaunoji Lietuva“,Ukmergės,5,0.5
3,4,61,2,Maironio,5,Demokratinė darbo ir vienybės partija,Ukmergės,7,0.7
3,17,61,,Maironio,3,Emigrantų partija,Ukmergės,3,0.3
3,2,61,,Maironio,6,Respublikonų partija,Ukmergės,6,0.6
3,12,61,,Maironio,2,Lietuvos žmonių partija,Ukmergės,2,0.2
2,11,61,,Anykščių,8,Krikščionių partija,Ukmergės,8,1.13
2,10,61,,Anykščių,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Ukmergės,1,0.14
2,15,61,,Anykščių,3,Partija „Jaunoji Lietuva“,Ukmergės,3,0.43
2,4,61,,Anykščių,1,Demokratinė darbo ir vienybės partija,Ukmergės,1,0.14
2,17,61,,Anykščių,1,Emigrantų partija,Ukmergės,1,0.14
2,2,61,1,Anykščių,2,Respublikonų partija,Ukmergės,3,0.43
2,12,61,,Anykščių,1,Lietuvos žmonių partija,Ukmergės,1,0.14
2,15,69,,Praniūnų,1,Partija „Jaunoji Lietuva“,Dzūkijos,1,0.26
2,4,69,2,Praniūnų,,Demokratinė darbo ir vienybės partija,Dzūkijos,2,0.52
2,17,69,,Praniūnų,,Emigrantų partija,Dzūkijos,,
2,2,69,1,Praniūnų,,Respublikonų partija,Dzūkijos,1,0.26
2,12,69,,Praniūnų,1,Lietuvos žmonių partija,Dzūkijos,1,0.26
39,6,70,2,Senosios Varėnos,38,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,40,7.74
39,9,70,1,Senosios Varėnos,36,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,37,7.16
39,7,70,,Senosios Varėnos,2,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,2,0.39
39,14,70,1,Senosios Varėnos,4,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,5,0.97
39,16,70,6,Senosios Varėnos,10,Liberalų ir centro sąjunga,Varėnos - Eišiškių,16,3.09
39,18,70,2,Senosios Varėnos,6,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,8,1.55
39,13,70,,Senosios Varėnos,5,Socialistinis liaudies Frontas,Varėnos - Eišiškių,5,0.97
39,11,70,1,Senosios Varėnos,2,Krikščionių partija,Varėnos - Eišiškių,3,0.58
38,6,70,7,Šilo,91,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,98,6.82
38,9,70,18,Šilo,87,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,105,7.31
38,7,70,,Šilo,12,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,12,0.84
38,14,70,5,Šilo,23,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,28,1.95
38,16,70,8,Šilo,22,Liberalų ir centro sąjunga,Varėnos - Eišiškių,30,2.09
38,18,70,,Šilo,20,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,20,1.39
38,13,70,,Šilo,7,Socialistinis liaudies Frontas,Varėnos - Eišiškių,7,0.49
38,11,70,,Šilo,10,Krikščionių partija,Varėnos - Eišiškių,10,0.7
37,3,70,42,Dzūkų,251,Darbo partija,Varėnos - Eišiškių,293,26.95
37,8,70,57,Dzūkų,186,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,243,22.36
37,5,70,18,Dzūkų,110,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,128,11.78
37,1,70,30,Dzūkų,120,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,150,13.8
39,10,70,3,Senosios Varėnos,6,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,9,1.74
39,15,70,,Senosios Varėnos,1,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,1,0.19
39,4,70,1,Senosios Varėnos,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.19
39,17,70,,Senosios Varėnos,2,Emigrantų partija,Varėnos - Eišiškių,2,0.39
39,2,70,,Senosios Varėnos,3,Respublikonų partija,Varėnos - Eišiškių,3,0.58
39,12,70,,Senosios Varėnos,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.19
38,10,70,2,Šilo,14,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,16,1.11
38,15,70,1,Šilo,6,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,7,0.49
38,4,70,1,Šilo,3,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,4,0.28
38,17,70,,Šilo,3,Emigrantų partija,Varėnos - Eišiškių,3,0.21
38,2,70,2,Šilo,7,Respublikonų partija,Varėnos - Eišiškių,9,0.63
38,12,70,,Šilo,2,Lietuvos žmonių partija,Varėnos - Eišiškių,2,0.14
37,6,70,6,Dzūkų,53,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,59,5.43
37,9,70,17,Dzūkų,64,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,81,7.45
37,7,70,,Dzūkų,9,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,9,0.83
37,14,70,2,Dzūkų,10,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,12,1.1
37,16,70,16,Dzūkų,24,Liberalų ir centro sąjunga,Varėnos - Eišiškių,40,3.68
37,18,70,,Dzūkų,1,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,1,0.09
37,13,70,4,Dzūkų,9,Socialistinis liaudies Frontas,Varėnos - Eišiškių,13,1.2
37,11,70,2,Dzūkų,5,Krikščionių partija,Varėnos - Eišiškių,7,0.64
37,3,70,,Tausiūnų,8,Darbo partija,Varėnos - Eišiškių,8,5.41
37,8,70,,Tausiūnų,2,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,2,1.35
37,5,70,,Tausiūnų,1,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,1,0.68
37,1,70,,Tausiūnų,,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,,
37,6,70,,Tausiūnų,,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,,
37,10,70,8,Dzūkų,20,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,28,2.58
37,15,70,,Dzūkų,4,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,4,0.37
37,4,70,,Dzūkų,3,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,3,0.28
37,17,70,,Dzūkų,6,Emigrantų partija,Varėnos - Eišiškių,6,0.55
37,2,70,2,Dzūkų,5,Respublikonų partija,Varėnos - Eišiškių,7,0.64
37,12,70,,Dzūkų,3,Lietuvos žmonių partija,Varėnos - Eišiškių,3,0.28
37,9,70,1,Tausiūnų,13,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,14,9.46
37,7,70,32,Tausiūnų,86,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,118,79.73
37,14,70,,Tausiūnų,,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,,
37,16,70,,Tausiūnų,,Liberalų ir centro sąjunga,Varėnos - Eišiškių,,
37,18,70,,Tausiūnų,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
37,13,70,,Tausiūnų,2,Socialistinis liaudies Frontas,Varėnos - Eišiškių,2,1.35
37,11,70,,Tausiūnų,1,Krikščionių partija,Varėnos - Eišiškių,1,0.68
37,10,70,,Tausiūnų,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,,
36,3,70,35,Parko,344,Darbo partija,Varėnos - Eišiškių,379,27.09
36,8,70,59,Parko,270,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,329,23.52
36,5,70,17,Parko,137,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,154,11.01
36,1,70,34,Parko,160,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,194,13.87
36,6,70,7,Parko,74,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,81,5.79
35,3,70,24,Rudnios,33,Darbo partija,Varėnos - Eišiškių,57,38.0
35,8,70,21,Rudnios,15,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,36,24.0
35,5,70,8,Rudnios,,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,8,5.33
35,1,70,11,Rudnios,5,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,16,10.67
37,15,70,,Tausiūnų,1,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,1,0.68
37,4,70,,Tausiūnų,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
37,17,70,,Tausiūnų,,Emigrantų partija,Varėnos - Eišiškių,,
37,2,70,,Tausiūnų,,Respublikonų partija,Varėnos - Eišiškių,,
37,12,70,,Tausiūnų,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.68
36,9,70,16,Parko,75,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,91,6.5
36,7,70,1,Parko,8,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,9,0.64
36,14,70,4,Parko,10,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,14,1.0
36,16,70,11,Parko,33,Liberalų ir centro sąjunga,Varėnos - Eišiškių,44,3.15
36,18,70,1,Parko,11,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,12,0.86
36,13,70,3,Parko,10,Socialistinis liaudies Frontas,Varėnos - Eišiškių,13,0.93
36,11,70,,Parko,8,Krikščionių partija,Varėnos - Eišiškių,8,0.57
36,10,70,10,Parko,23,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,33,2.36
35,6,70,2,Rudnios,,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,2,1.33
35,9,70,5,Rudnios,9,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,14,9.33
35,7,70,,Rudnios,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
35,14,70,1,Rudnios,,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,1,0.67
35,16,70,1,Rudnios,5,Liberalų ir centro sąjunga,Varėnos - Eišiškių,6,4.0
35,18,70,1,Rudnios,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,1,0.67
35,13,70,,Rudnios,2,Socialistinis liaudies Frontas,Varėnos - Eišiškių,2,1.33
35,11,70,1,Rudnios,4,Krikščionių partija,Varėnos - Eišiškių,5,3.33
36,15,70,1,Parko,8,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,9,0.64
36,4,70,1,Parko,3,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,4,0.29
36,17,70,,Parko,4,Emigrantų partija,Varėnos - Eišiškių,4,0.29
36,2,70,,Parko,19,Respublikonų partija,Varėnos - Eišiškių,19,1.36
36,12,70,,Parko,2,Lietuvos žmonių partija,Varėnos - Eišiškių,2,0.14
35,10,70,,Rudnios,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,1,0.67
35,15,70,,Rudnios,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
35,4,70,,Rudnios,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
35,17,70,,Rudnios,,Emigrantų partija,Varėnos - Eišiškių,,
35,2,70,,Rudnios,1,Respublikonų partija,Varėnos - Eišiškių,1,0.67
35,12,70,,Rudnios,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
35,3,70,,Dailidžių,8,Darbo partija,Varėnos - Eišiškių,8,4.37
35,8,70,,Dailidžių,,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,,
35,5,70,,Dailidžių,1,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,1,0.55
35,1,70,,Dailidžių,7,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,7,3.83
35,6,70,,Dailidžių,,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,,
34,3,70,15,Vydenių,93,Darbo partija,Varėnos - Eišiškių,108,31.21
34,8,70,16,Vydenių,35,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,51,14.74
34,5,70,7,Vydenių,16,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,23,6.65
34,1,70,37,Vydenių,39,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,76,21.97
34,6,70,1,Vydenių,6,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,7,2.02
35,9,70,,Dailidžių,2,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,2,1.09
35,7,70,36,Dailidžių,121,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,157,85.79
35,14,70,,Dailidžių,,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,,
35,16,70,,Dailidžių,1,Liberalų ir centro sąjunga,Varėnos - Eišiškių,1,0.55
35,18,70,,Dailidžių,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
35,13,70,,Dailidžių,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,1,0.55
35,11,70,,Dailidžių,,Krikščionių partija,Varėnos - Eišiškių,,
34,9,70,9,Vydenių,12,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,21,6.07
34,7,70,,Vydenių,19,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,19,5.49
34,14,70,,Vydenių,2,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,2,0.58
34,16,70,7,Vydenių,4,Liberalų ir centro sąjunga,Varėnos - Eišiškių,11,3.18
34,18,70,,Vydenių,1,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,1,0.29
34,13,70,2,Vydenių,,Socialistinis liaudies Frontas,Varėnos - Eišiškių,2,0.58
34,11,70,1,Vydenių,1,Krikščionių partija,Varėnos - Eišiškių,2,0.58
34,10,70,1,Vydenių,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,3,0.87
33,3,70,9,Krivilių,66,Darbo partija,Varėnos - Eišiškių,75,37.69
33,8,70,2,Krivilių,26,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,28,14.07
33,5,70,,Krivilių,6,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,6,3.02
33,1,70,8,Krivilių,36,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,44,22.11
33,6,70,5,Krivilių,7,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,12,6.03
32,3,70,17,Tolkūnų,39,Darbo partija,Varėnos - Eišiškių,56,32.18
32,8,70,11,Tolkūnų,24,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,35,20.11
32,5,70,3,Tolkūnų,17,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,20,11.49
32,1,70,11,Tolkūnų,15,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,26,14.94
35,10,70,,Dailidžių,1,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,1,0.55
35,15,70,,Dailidžių,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
35,4,70,,Dailidžių,1,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.55
35,17,70,,Dailidžių,1,Emigrantų partija,Varėnos - Eišiškių,1,0.55
35,2,70,,Dailidžių,2,Respublikonų partija,Varėnos - Eišiškių,2,1.09
35,12,70,,Dailidžių,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.55
34,15,70,1,Vydenių,1,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,2,0.58
34,4,70,,Vydenių,2,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,2,0.58
34,17,70,,Vydenių,,Emigrantų partija,Varėnos - Eišiškių,,
34,2,70,2,Vydenių,13,Respublikonų partija,Varėnos - Eišiškių,15,4.34
34,12,70,,Vydenių,1,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.29
33,9,70,3,Krivilių,15,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,18,9.05
33,7,70,1,Krivilių,1,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,2,1.01
33,14,70,,Krivilių,2,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,2,1.01
33,16,70,,Krivilių,3,Liberalų ir centro sąjunga,Varėnos - Eišiškių,3,1.51
33,18,70,,Krivilių,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
33,13,70,,Krivilių,3,Socialistinis liaudies Frontas,Varėnos - Eišiškių,3,1.51
33,11,70,,Krivilių,1,Krikščionių partija,Varėnos - Eišiškių,1,0.5
33,10,70,,Krivilių,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,2,1.01
32,6,70,4,Tolkūnų,3,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,7,4.02
32,9,70,1,Tolkūnų,9,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,10,5.75
32,7,70,1,Tolkūnų,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,1,0.57
32,14,70,1,Tolkūnų,1,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,2,1.15
32,16,70,,Tolkūnų,7,Liberalų ir centro sąjunga,Varėnos - Eišiškių,7,4.02
32,18,70,,Tolkūnų,2,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,2,1.15
32,13,70,,Tolkūnų,,Socialistinis liaudies Frontas,Varėnos - Eišiškių,,
31,3,70,6,Sarapiniškių,42,Darbo partija,Varėnos - Eišiškių,48,29.63
31,8,70,7,Sarapiniškių,25,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,32,19.75
31,5,70,4,Sarapiniškių,10,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,14,8.64
31,1,70,9,Sarapiniškių,27,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,36,22.22
31,6,70,4,Sarapiniškių,1,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,5,3.09
30,3,70,8,Perlojos,65,Darbo partija,Varėnos - Eišiškių,73,25.09
30,8,70,6,Perlojos,46,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,52,17.87
30,5,70,16,Perlojos,34,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,50,17.18
30,1,70,13,Perlojos,29,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,42,14.43
30,6,70,6,Perlojos,13,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,19,6.53
29,3,70,9,Nedzingės,58,Darbo partija,Varėnos - Eišiškių,67,46.21
29,8,70,4,Nedzingės,26,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,30,20.69
29,5,70,1,Nedzingės,7,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,8,5.52
29,1,70,1,Nedzingės,21,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,22,15.17
33,15,70,,Krivilių,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
33,4,70,,Krivilių,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
33,17,70,,Krivilių,,Emigrantų partija,Varėnos - Eišiškių,,
33,2,70,,Krivilių,2,Respublikonų partija,Varėnos - Eišiškių,2,1.01
33,12,70,1,Krivilių,,Lietuvos žmonių partija,Varėnos - Eišiškių,1,0.5
32,11,70,2,Tolkūnų,2,Krikščionių partija,Varėnos - Eišiškių,4,2.3
32,10,70,1,Tolkūnų,2,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,3,1.72
32,15,70,1,Tolkūnų,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,1,0.57
32,4,70,,Tolkūnų,,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,,
32,17,70,,Tolkūnų,,Emigrantų partija,Varėnos - Eišiškių,,
32,2,70,,Tolkūnų,,Respublikonų partija,Varėnos - Eišiškių,,
32,12,70,,Tolkūnų,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
31,9,70,5,Sarapiniškių,6,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,11,6.79
31,7,70,,Sarapiniškių,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
31,14,70,1,Sarapiniškių,5,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,6,3.7
31,16,70,,Sarapiniškių,2,Liberalų ir centro sąjunga,Varėnos - Eišiškių,2,1.23
31,18,70,2,Sarapiniškių,2,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,4,2.47
31,13,70,,Sarapiniškių,1,Socialistinis liaudies Frontas,Varėnos - Eišiškių,1,0.62
31,11,70,1,Sarapiniškių,,Krikščionių partija,Varėnos - Eišiškių,1,0.62
31,10,70,,Sarapiniškių,,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,,
30,9,70,2,Perlojos,12,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,14,4.81
30,7,70,,Perlojos,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
30,14,70,,Perlojos,1,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,1,0.34
30,16,70,1,Perlojos,10,Liberalų ir centro sąjunga,Varėnos - Eišiškių,11,3.78
30,18,70,,Perlojos,2,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,2,0.69
30,13,70,,Perlojos,2,Socialistinis liaudies Frontas,Varėnos - Eišiškių,2,0.69
30,11,70,1,Perlojos,6,Krikščionių partija,Varėnos - Eišiškių,7,2.41
29,6,70,,Nedzingės,6,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,6,4.14
29,9,70,,Nedzingės,2,Partija Tvarka ir teisingumas,Varėnos - Eišiškių,2,1.38
29,7,70,,Nedzingės,,Lietuvos lenkų rinkimų akcija,Varėnos - Eišiškių,,
29,14,70,,Nedzingės,1,Lietuvos valstiečių ir žaliųjų sąjunga,Varėnos - Eišiškių,1,0.69
29,16,70,,Nedzingės,5,Liberalų ir centro sąjunga,Varėnos - Eišiškių,5,3.45
29,18,70,,Nedzingės,,Politinė partija „Sąjunga Taip“,Varėnos - Eišiškių,,
29,13,70,,Nedzingės,,Socialistinis liaudies Frontas,Varėnos - Eišiškių,,
29,11,70,,Nedzingės,1,Krikščionių partija,Varėnos - Eišiškių,1,0.69
28,3,70,17,Gudžių,71,Darbo partija,Varėnos - Eišiškių,88,41.9
28,8,70,11,Gudžių,26,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,37,17.62
28,5,70,2,Gudžių,6,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,8,3.81
28,1,70,7,Gudžių,26,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,33,15.71
28,6,70,1,Gudžių,5,„Drąsos kelias“ politinė partija,Varėnos - Eišiškių,6,2.86
27,3,70,5,Pušelės,33,Darbo partija,Varėnos - Eišiškių,38,13.82
27,8,70,3,Pušelės,74,Lietuvos socialdemokratų partija,Varėnos - Eišiškių,77,28.0
27,5,70,10,Pušelės,44,Tėvynės sąjunga - Lietuvos krikščionys demokratai,Varėnos - Eišiškių,54,19.64
27,1,70,1,Pušelės,28,Lietuvos Respublikos liberalų sąjūdis,Varėnos - Eišiškių,29,10.55
31,15,70,,Sarapiniškių,,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,,
31,4,70,,Sarapiniškių,1,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.62
31,17,70,,Sarapiniškių,1,Emigrantų partija,Varėnos - Eišiškių,1,0.62
31,2,70,,Sarapiniškių,,Respublikonų partija,Varėnos - Eišiškių,,
31,12,70,,Sarapiniškių,,Lietuvos žmonių partija,Varėnos - Eišiškių,,
30,10,70,,Perlojos,5,"Nacionalinis susivienijimas „Už Lietuvą Lietuvoje“ (Lietuvos centro partijos, Lietuvos socialdemokratų sąjungos, Tautininkų sąjungos ir Tautos vienybės sąjungos koalicija)",Varėnos - Eišiškių,5,1.72
30,15,70,,Perlojos,1,Partija „Jaunoji Lietuva“,Varėnos - Eišiškių,1,0.34
30,4,70,,Perlojos,1,Demokratinė darbo ir vienybės partija,Varėnos - Eišiškių,1,0.34
30,17,70,,Perlojos,,Emigrantų partija,Varėnos - Eišiškių,,
30,2,70,,Perlojos,9,Respublikonų partija,Varėnos - Eišiškių,9,3.09
30,12,70,,Perlojos,2,Lietuvos žmonių partija,Varėnos - Eišiškių,2,0.69
